,GEOID,pop_tot,state,county,tract,block group
204,1500000US360470401003,1316.0,36,047,040100,3
205,1500000US360470408003,1297.0,36,047,040800,3
206,1500000US360470409003,1472.0,36,047,040900,3
207,1500000US360470410002,791.0,36,047,041000,2
208,1500000US360470411003,1095.0,36,047,041100,3
209,1500000US360470413001,1379.0,36,047,041300,1
210,1500000US360470414011,933.0,36,047,041401,1
211,1500000US360470414022,821.0,36,047,041402,2
212,1500000US360470415003,849.0,36,047,041500,3
213,1500000US360470417001,446.0,36,047,041700,1
214,1500000US360470417004,670.0,36,047,041700,4
215,1500000US360470419001,1792.0,36,047,041900,1
216,1500000US360470419003,1078.0,36,047,041900,3
217,1500000US360470421001,542.0,36,047,042100,1
218,1500000US360470421004,1340.0,36,047,042100,4
219,1500000US360470422003,642.0,36,047,042200,3
220,1500000US360470423003,743.0,36,047,042300,3
221,1500000US360470429002,1329.0,36,047,042900,2
222,1500000US360470430001,899.0,36,047,043000,1
223,1500000US360470431001,1351.0,36,047,043100,1
224,1500000US360470431004,1491.0,36,047,043100,4
225,1500000US360470432002,1860.0,36,047,043200,2
226,1500000US360470433002,575.0,36,047,043300,2
227,1500000US360470434002,1195.0,36,047,043400,2
228,1500000US360470435002,2167.0,36,047,043500,2
229,1500000US360470436002,1014.0,36,047,043600,2
230,1500000US360470437002,1789.0,36,047,043700,2
231,1500000US360470438001,1176.0,36,047,043800,1
232,1500000US360470439002,1335.0,36,047,043900,2
233,1500000US360470440001,768.0,36,047,044000,1
234,1500000US360470441001,1374.0,36,047,044100,1
235,1500000US360470442001,1341.0,36,047,044200,1
236,1500000US360470443002,1289.0,36,047,044300,2
237,1500000US360470449013,0.0,36,047,044901,3
238,1500000US360470449022,0.0,36,047,044902,2
239,1500000US360470452001,1121.0,36,047,045200,1
240,1500000US360470453002,755.0,36,047,045300,2
241,1500000US360470456001,966.0,36,047,045600,1
242,1500000US360470458002,465.0,36,047,045800,2
243,1500000US360470460003,591.0,36,047,046000,3
244,1500000US360470462021,853.0,36,047,046202,1
245,1500000US360470464002,1488.0,36,047,046400,2
246,1500000US360470470001,1375.0,36,047,047000,1
247,1500000US360470472002,1136.0,36,047,047200,2
248,1500000US360470474002,891.0,36,047,047400,2
249,1500000US360470476003,1359.0,36,047,047600,3
250,1500000US360470478001,1167.0,36,047,047800,1
251,1500000US360470480001,1148.0,36,047,048000,1
